1 2 3
4 5 6
7 8 9
8 9 10
9 10 11
10 11 12
11 12 13
14 15 16
15 16 17
16 17 18
17 18 19
18 19 20
21 22 23
22 23 24
23 24 25
24 25 26
25 26 27
28 29 30
31 32 33
3 2 1
6 5 4
13 12 11
12 11 10
11 10 9
10 9 8
9 8 7
20 19 18
19 18 17
18 17 16 
17 16 15
16 15 14
27 26 25
26 25 24
25 24 23
24 23 22
23 22 21
30 29 28
33 32 31
1 4 9
2 5 10
3 6 11
4 9 16
5 10 17
6 11 18
7 14 21
8 15 22
9 16 23
10 17 24
11 18 25
12 19 26
13 20 27
16 23 28
17 24 29
18 25 30
23 28 31
24 29 32
25 30 33
31 28 23
32 29 24
33 30 25
28 23 16
29 24 17
30 25 18
21 14 7
22 15 8 
23 16 9
24 17 10
25 18 11
26 19 12
27 20 13
16 9 4
17 10 5
18 11 6
9 4 1
10 5 2
11 6 3
